shift_id,note,category
S108174,shift handover delayed by 20 min..,late_handover
S102121,akukho lutho,routine
S106272,"additional cover requested by site manager, signed off",client_requested
S102883,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S104413,"double duty today, Zulu on family responsibility leave",absence_cover
S102630,"took dlamini shift as well, 2 posts 1 guard",routine
S103206,stood in for Fourie,routine
S103609,"gedek vir Ndlovu, siek gemeld",absence_cover
S103551,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY,client_requested
S107118,klient het ekstra ure gevra vir stocktake,client_requested
S107491,zulu off sick. again. coveered.,absence_cover
S103775,"scrubber broke down, had to do the floor manually..",equipment_failure
S104429,"Septeember didnt come in, covered the post",absence_cover
S104005,"Mabaso didnt come in, covered the post",absence_cover
S102885,sharp,blank
S106574,ntr,blank
S104365,"additional cover requested by site mgr, signed off",client_requested
S105303,extra hours approved by client for the event setup,client_requested
S102254,"client says stay till 6, dont know if office approved",client_requested
S102028,"stocktake ran over, client asked us to reemain, they know they pay for it",client_requested
S107739,klient het ekstra ure gevra vir stocktake..,client_requested
S100313,"generator fault, stayed to monitor",equipment_failure
S105239,"scrubber broke down, had to do the floor manually",equipment_failure
S101500,"Sithole absent, took her rounds as well",absence_cover
S109296,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600..",absence_cover
S109301,"took Wyk shift as well, 2 posts 1 gard..",routine
S102605,n/a,blank
S103931,niks om te rapporteer nie,routine
S102420,"oorhandiging was laat, gewag vir sleutels",late_handover
S108871,Client askeed for extra patrol afetr the break-in Tuesday,client_requested
S105150,-,blank
S106438,stood in for Mabaso,routine
S102631,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00",absence_cover
S105083,"additional cover requested by site manager, signed off",client_requested
S108286,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S101325,klient het ekstra ure gevra vir stocktake !,client_requested
S108195,"relief never arrived, stayed on till 6am",absence_cover
S104015,"covering Motaung post, no show no caall",absence_cover
S102989,"handover late agn, keys missing",late_handover
S108078,Next shift guard did not pitch. Had to covr.,absence_cover
S106439,"double duty today, Sithole on family responsibility leave",absence_cover
S101779,"late handover, waiting on paperwork",late_handover
S101122,PILLAY OFF SICK. AGN. COVERED !,absence_cover
S102228,stood in for Fourie,routine
S100554,Centre manager requested addtional cover for stocktake..,client_requested
S108850,.,blank
S106565,ok,blank
S109287,"waited 25 min for handover, OB book not signed..",late_handover
S108347,n/a,blank
S107387,"took naidoo shift as well, 2 posts 1 guard..",absence_cover
S106396,Client asked for extra patrol after the break-in Tuesday..,client_requested
S100905,quiet shift,routine
S100333,"geddek vir Mabaso, siek gemeld..",absence_cover
S103806,Ndlovu off sick. aggn. covered,absence_cover
S103850,no issues on site,routine
S101502,"additional cover requested by site manager, signed off",client_requested
S106645,client asked for extra patrol after the break-in tuesday,client_requested
S104103,"Pillay absent, took her rounds as well",absence_cover
S102856,niks om te rapporteer nie,routine
S101331,"no replacement sent, ngicela sort this out..",absence_cover
S108104,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S102307,"double duty today, Maluleke on family responsibility leave",absence_cover
S102886,"took Adams shift as well, 2 posts 1 guard..",routine
S106107,"machine down again, took twice as long",equipment_failure
S104337,"requested by centre management for load in, signed off",client_requested
S106848,no issues on site,routine
S103166,ok,blank
S103384,"generator fault, stayed to monitor",equipment_failure
S100022,Client rquested deep clean before the audit - approved,client_requested
S109118,"buffer machine kaput, did the floor by hand",equipment_failure
S103269,all good,routine
S100388,"additional cover requested by site manager, signed off",client_requested
S103014,"Sithole absent, took her rounds as well",absence_cover
S103608,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S104501,all fine,blank
S103366,quiet shift,routine
S101518,"waited 30 min for handover, ob book not signed",late_handover
S102859,"scrubber broke down, had to do the floor manually",equipment_failure
S106529,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S104422,all fine,blank
S100738,double shift bc relief never pitched,absence_cover
S102143,ok,blank
S101484,"waited 45 min for handover, OB book not signed",late_handover
S105299,n/a,blank
S100204,all good,routine
S105768,client asked for extra patrol after the break-in tuesday,client_requested
S107100,n/a,blank
S106646,client requested deep clean befroe the audit - approved,client_requested
S104821,"oorhandiging was lat, gewag vir sleutels",late_handover
S101034,no issues on site,routine
S103226,Client requested deep clean before the audit - approved..,client_requested
S106671,"requested by centre management for load in, signed off",client_requested
S109348,client signed for the extra hours but real reason is relief no show agn,absence_cover
S105269,"covering Sibiya post, no show no call",absence_cover
S103800,nothing to report,routine
S108275,relif no show AGAIN,absence_cover
S102865,Client asked for extra patrol after the break-in Tuesday,client_requested
S102439,all good,routine
S107217,"buffer machine kaput, did the floor by hand",equipment_failure
S102952,ntr,blank
S108076,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT",client_requested
S100629,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH,absence_cover
S108051,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S108033,Next shift guard did not pitch. Had to cover.,absence_cover
S108562,Covering for Adams - booked off sick,absence_cover
S104862,"handover late again, keys missing",late_handover
S102855,Next shift guard did not pitch. Had to cover.,absence_cover
S103428,"zulu absent, took her rounds as well",absence_cover
S103584,"worked through, baloyi at the clinic",absence_cover
S106947,shift handover delayed by 40 min,late_handover
S108154,.,blank
S105631,Khumalo off sick. again. covered.,absence_cover
S104568,"Cele absent, took her rounds as well",absence_cover
S105508,"oorhandiging was laat, gewag vir sleutels",late_handover
S106033,Covering for Fourie - booked off sick,absence_cover
S106673,Client asked for exra patrol after the break-in Tuesday,client_requested
S109183,Client requested deep clean before the audit - approveed,client_requested
S108185,"covering Wyk post, no show no call",absence_cover
S103019,"still on site, relief was suppose to come 06:00",absence_cover
S102844,radebe off sick. again. covered.,absence_cover
S107816,"worked through, Maluleke at the clinic",absence_cover
S101627,"waited 40 min for handover, OB book not signed",late_handover
S108529,"uFourie akezanga namhalnje, ngimele yena",absence_cover
S101445,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S104588,all good,routine
S108628,"buffer machine kaput, did the floor by hand",equipment_failure
S108873,Fourie off sick. agn. covered.,absence_cover
S104017,"uPillay akezanga namhlanje, nimele yena !",absence_cover
S106533,"no replacement sent, ngicela sort this out",absence_cover
S101777,"machine down again, took twice as long",equipment_failure
S103073,covering for nkosi - booked off sick..,absence_cover
S100983,no issues on site,routine
S108346,"covering Cele post, no show no call",absence_cover
S107474,"control room says relief coming, nobody came",absence_cover
S100715,nothing to report,routine
S106737,"laet handover, waiting on paperwork",late_handover
S105115,Naidoo off sick. agn. covered.,absence_cover
S100577,"requested by centre management for load in, signed off",client_requested
S103405,n/a,blank
S105653,stood in for Jacobs,routine
S102421,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S102725,-,blank
S103582,"Mabaso didnt come in, covered the post..",absence_cover
S109249,quiet shift,routine
S106149,client asked for extra patrol after the break-in tuesday,client_requested
S103062,"no replacement sent, ngicela sort this out",absence_cover
S103565,ntr,blank
S107861,sharp,blank
S100942,Nkosi off sick. again. covered.,absence_cover
S107766,"uAdams akezanga namhlanje, ngimele yena",absence_cover
S104514,ntr,blank
S108019,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND..",equipment_failure
S100711,"took Wyk shift as well, 2 posts 1 guard",absence_cover
S107338,"took Sithole shift as well, 2 posts 1 guard",routine
S105984,"late handover, waiting on paperwork",late_handover
S100747,"client says stay till 6am, dont know if office approved",client_requested
S103623,relief no show again,absence_cover
S106555,shift handover delayed by 45 min,late_handover
S104288,"took Sithole shift as well, 2 posts 1 guard",routine
S101734,"Mokoena absent, took her rounds as well",absence_cover
S103832,"still on site, relief was suppose to come 06:00",absence_cover
S106792,"no replacement sent, ngicela sort this out..",absence_cover
S106354,Client requested deep clean before the audit - approved,client_requested
S102049,"client asked us to stay for the delivery, ok'd by cnetre mgmt",client_requested
S106122,shift handover delayed by 30 min..,late_handover
S103211,"additional cover requested by site manager, signed off",client_requested
S103957,quiet shift,routine
S103447,"relief never arrived, stayed on till 06:00",absence_cover
S103726,"worked through, fourie at the clinic",absence_cover
S100818,"worked through, mthembu at the clinic",absence_cover
S103655,"late handover, waitnig on paperwork",late_handover
S102134,"handover late agn, keys missing !",late_handover
S107628,as per normal,routine
S104916,"Mavuso absent, took her rounds as well",absence_cover
S103547,"relief only arrived 6, stayed until then..",absence_cover
S107968,"no replacement sent, ngicela sort this out",absence_cover
S102834,"gate motor failed, manned it by hand till 6",equipment_failure
S108466,"GEDK VIR MOKOENA, SEK GEMELD",absence_cover
S108071,"waited for relief, nobody came through",late_handover
S107721,"WORKED THROUGH, MOTAUNG AT THE CLINIC",absence_cover
S106240,"aflos het nie opgedaag nie, moes aanbly..",absence_cover
S102816,client signed for the extra hours but real reason is relief no show agn,absence_cover
S103400,RELIEF NO SHOW AGAIN,absence_cover
S103567,Covering for Naidoo - booked off sick,absence_cover
S103011,"still on site, relief was suppose to coe six",absence_cover
S106804,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S104038,"late handover, waiting on paperwork",late_handover
S101555,Clint ased for extra patrol after the break-in Tuesday,client_requested
S105556,"UMANUEL AKEZANGA NAMHLANJE, NGIMELE YENA",absence_cover
S105003,-,blank
S107975,no issues on site,routine
S100140,Next shift guard did not pitch. Had to cover.,absence_cover
S107075,"double duty toda,y sibiya on family responsibility leave",absence_cover
S106652,"still on site, relief was suppoes to come 6am",absence_cover
S103478,"double dtuy today, Nkoi on family responsibility leave",absence_cover
S101798,"worked through, Cele at the clinic",absence_cover
S102432,"oorhandiging was laat, gewag vir sleutels",late_handover
S105047,"client says stay till six, donnt know if office approved",client_requested
S101552,"lift out of order, everything carried up stairs, took long",equipment_failure
S109173,.,blank
S103055,stood in for Fourie,routine
S106541,stood in for Mavuso,absence_cover
S102204,"oorhandiging was laat, gewag vir sleutels",late_handover
S103344,"extra patrol per client email, approved by office",client_requested
S108105,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S102382,"gate motor failed, manned it by hand till 06:00",equipment_failure
S106979,"covering mthembu post, no show no call",absence_cover
S101551,"no replacement sent, ngicela sort this out",absence_cover
S103691,Client reuested deep clean before the audit - approved,client_requested
S100590,"tok mahlangu shift as wll, 2 posts 1 guard",routine
S104130,"no replacement sent, ngicela sort this out",absence_cover
S101805,"masjien is stukkend, alls met die hand gedoen",equipment_failure
S107050,"took Nosi shift as well, 2 pots 1 guard",routine
S100586,Next shift guard did not pitch. Had to cover.,absence_cover
S106664,"Mabaso didnt come in, covered the post",absence_cover
S106280,Client requested deep clean before the audit - approved,client_requested
S105325,"Zulu didnt come in, covered the post",absence_cover
S101883,"buffer machine kaput, did the floor by hand",equipment_failure
S108332,"stocktake ran over, client asked us to remain, they knnow tey pay for it",client_requested
S104275,"stocktake ran over, client asked us to remai,n they know they pay for it",client_requested
S101278,ok,blank
S106650,"worked through, Tshabalala at the clinic",absence_cover
S109304,"MAASJIEN IS STUKKEND, ALLES MET DIE HAND GEDOEN",equipment_failure
S100889,"cllient wanted extra man on the gate for the event, approved",client_requested
S109279,ntr,blank
S101961,fine,blank
S108951,quiet shift,routine
S105579,"lift out of order, everything carried up stairs, took long",equipment_failure
S103829,"worked through, Jaobs at the clinic",absence_cover
S105821,"extra patrol per clent email, approved by office",client_requested
S101230,ntr,blank
S106561,"srubber broke down, had to do the floor manually",equipment_failure
S104974,all quiet,routine
S103973,Covering for Sibiya - booked off sick,absence_cover
S100485,shiift handover delayed by 30 min,late_handover
