shift_id,category,note
S104328,client_requested,Centre manager requested additional cover for stocktake
S101143,client_requested,extra hours approved by client for the event seup
S107378,blank,n/a
S109333,equipment_failure,"lift out of order, everything carried up stairs, took long"
S106514,late_handover,shift handover delayed by 25 min
S101642,client_requested,Client requested deep clean before the audit - approved
S100593,absence_cover,"took fourie shift as wll, 2 posts 1 guard"
S105147,client_requested,"client says stay till 06:00, dont know if office approved"
S105777,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S103083,absence_cover,"still on site, relief was suppose to come 0600"
S107881,client_requested,Client requested deep clean before the audit - approved
S100164,absence_cover,"uFouire akezanga namhlanje, ngimele yena"
S106903,absence_cover,relief no show AGAIN
S106247,absence_cover,next shift guard did not pitch. had to cover
S108878,late_handover,"handover late again, keys missing"
S102888,absence_cover,"double duty today, Mahlangu on family responsibility leave"
S107172,routine,nothing to report
S105907,absence_cover,stood in for Mthembu
S107272,absence_cover,"aflos het nie opgedaag nie, moes aanbly"
S107719,absence_cover,Covered for Motaung again - 3rd time this month
S107751,absence_cover,"September didnt come in, covered the post !"
S100406,routine,as per normal
S101019,late_handover,"late handover, waiting on paperwork"
S104171,client_requested,"requested by centre management for load in, signed off"
S100329,absence_cover,client signed for the extra hours but real reason is relief no show again
S104084,late_handover,"late handover, waiting on paperwork"
S105455,absence_cover,Covering for Mahlangu - booked off sick
S104307,client_requested,"requested by centre management for load in, signed off"
S107353,routine,nothing to report
S105081,absence_cover,"control room says relief coming, nobody came"
S104524,routine,all quiet
S106429,late_handover,shift handover delayed by 30 min
S103630,absence_cover,"Botha absent, took her rounds as well"
S101912,absence_cover,"covering khumalo post, no show no call"
S106449,client_requested,client requested deep clean before the audit - approved !
S102915,absence_cover,"worked through, Baloyi at the clinic"
S108089,absence_cover,"conntrol room says relief coming, nobody came"
S100063,absence_cover,"Botha didnt come in, covered the post"
S109151,routine,no incidents
S105810,absence_cover,covered for mauel again - 3rd time this month
S100324,absence_cover,"still on site, relief was suppose to come 06:00"
S108372,absence_cover,"worked through, Sibiya at the clinic.."
S104893,late_handover,"waited 20 min for handover, OB book not signed"
S106412,absence_cover,"uTshabalala akezanga namhlanje, ngimele yena"
S106153,absence_cover,stood in for Pillay..
S107045,absence_cover,relief no show AGAIN
S104802,client_requested,"extra patrol per client email, approved by office"
S108282,client_requested,klient het ekstra ure gevra vir stocktake
S103468,late_handover,"waited 25 min for handover, OB book not signed"
S100592,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104639,client_requested,"additional cover requested by site mgr, signed off"
S106391,routine,akukho lutho
S102310,blank,.
S108259,equipment_failure,"gate motor failed, manned it by hand till 6"
S107682,blank,-
S106087,absence_cover,"relief only arrived 06h00, stayed until then"
S101617,blank,
S103563,blank,sharp
S107432,blank,ntr
S105979,blank,fine
S107340,absence_cover,Covering for Mahlangu - bookked off sick
S103376,client_requested,"client wanted extra man on the gate for the event, approved"
S107293,absence_cover,"relief never arrived, stayed on till 6"
S100954,blank,ok
S101549,late_handover,"handover late agn, keys missing"
S100624,routine,akukho lutho
S100926,absence_cover,"covering Hendricks pos, no show no call"
S103528,client_requested,Centre mgr requested additional cover for stocktake
S107844,client_requested,Clint requested deep clean before the audit - approved
S106119,absence_cover,"uMolefe akezanga namhlanje, ngimele yena"
S101874,absence_cover,"no replacement sent, ngicela sort this out"
S107803,blank,fine
S105335,client_requested,client asked for extra patrol after the break-in tueesday
S107833,late_handover,"oorhandiging was laa, gewag vir sleutels"
S108358,absence_cover,"took Motaung shift as well, 2 posts 1 guard"
S101505,blank,
S106236,client_requested,extra hours approved by clent for the event setup
S101047,client_requested,Centre manager requested additional cover for stocktake
S109288,routine,all quiet
S104123,routine,nothing to report
S108613,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103780,routine,nothing to report
S109338,absence_cover,relief no show again
S106991,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S108913,absence_cover,double shift bc relief never pitched
S101184,late_handover,shift handover delayed by 25 min
S101387,absence_cover,"gedek vir Adaams, siek gemeld"
S108219,routine,nothing to report
S101599,absence_cover,client signed for the extra hours but real reason is relief no show agin
S106262,absence_cover,"covering Molefe post, no sow no call.."
S102769,blank,n/a
S109299,absence_cover,"Hendricks didnt come in, coevred the post"
S101576,late_handover,"waited 30 min for handover, OB book not signed !"
S104408,absence_cover,"ugNcobo akezanga namhlanje, ngimele yena"
S102020,absence_cover,"took Wyk shift as well, 2 posts 1 guard"
S105189,client_requested,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED
S101875,late_handover,shift handover delayed by 30 min
S103448,absence_cover,"Mokoena didnt come in, covered the pst"
S104440,absence_cover,"waited for relief, nobody came through"
S103026,absence_cover,relief no shwo AGAIN
S100892,absence_cover,"uJacobs akezanga namhlanje, ngimele yena.."
S107877,late_handover,shift handover delayed by 45 min
S108492,blank,fine
S107113,late_handover,"handover late again, keys missing"
S104838,client_requested,"cllient says stay till 06h00, dont know if office approved"
S104527,absence_cover,Covreed for Mabaso agn - 3rd time this month
S106371,absence_cover,"double duty today, Dlamini on family responsibility leave"
S108108,absence_cover,"aflos het nie opgedaag nie, moes aanbly"
S102956,late_handover,"late handover, waiting on paperwork.."
S101752,absence_cover,"gedek vir Maluleke, siek gemeld"
S103686,absence_cover,"relief never arrived, stayed on till 06h00"
S104188,absence_cover,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD"
S107471,blank,.
S107963,absence_cover,"Sithole absent, took her rounds as well.."
S101906,equipment_failure,"scrubber broke down, had to do the flooor manually"
S102383,client_requested,"client wanted extra man on the gate for the event, appoved"
S104172,equipment_failure,"generator fault, stayed to monitor"
S108025,absence_cover,"reliief only arrived 06:00, stayed until then"
S109329,client_requested,"client says stay till 6am, dont kow if office approved"
S103063,absence_cover,"took Wyk shift as well, 2 posts 1 guard"
S100422,absence_cover,mavuso off sick. again. covered.
S107743,absence_cover,"gedek vir Khumalo, siek gemeld !"
S100921,routine,as per normal
S108442,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107824,client_requested,Centre manager requested additional cover for stocktake
S106793,absence_cover,client signed for the extra hours but real reason is relief no show agn..
S101513,absence_cover,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD"
S102046,client_requested,"client wanted extra man on the gate for the event, approved"
S108952,late_handover,"handover late again, keys missign"
S105999,absence_cover,stood in for Ndlovu
S103398,absence_cover,"control room syas relief coming, nobody came"
S102032,equipment_failure,"machine down again, took twice as long.."
S108170,equipment_failure,"lift out of order, everything carried up stairs, took long"
S103186,late_handover,"waited 45 min for handover, ob book not signed"
S103258,blank,n/a
S102514,absence_cover,"maluleke absent, took her rounds as well"
S101242,client_requested,extra hours approved by cliennt for the event setup
S103855,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107720,equipment_failure,"machine down again, took twce as long"
S104067,blank,sharp
S105344,absence_cover,"covering Mokoena post, no show no call"
S100153,equipment_failure,"buffer machine kaput, did the floor by hand"
S100195,client_requested,"additional cover requuested by site maanger, signed off"
S100504,routine,quiet shift
S107445,absence_cover,"toko Fourie shift as well, 2 posts 1 guard"
S105589,client_requested,extra hours approoved by clinet for the event setup
S104419,late_handover,shift handover delayed by 25 min !
S107473,absence_cover,"wroked through, naidoo at the clinic"
S101083,routine,quiet shift
S100377,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102826,blank,n/a
S100391,absence_cover,"aflos het nie opgedaag nie, moes aabnly"
S108328,absence_cover,"covering Jacobs post, no show no call"
S100618,routine,nothing to report
S107742,absence_cover,"control room says relief coming, nobdoy came"
S104637,client_requested,extra hours approved by client for the event setup
S100893,equipment_failure,"buffer machine kaput, did the floor by hand.."
S104125,absence_cover,"waited for relief, nobody came through"
S103628,client_requested,extra hrs approved by client for the event setup
S106131,client_requested,extra hrs approved by client for the event setup
S107763,routine,no incidents
S107745,client_requested,"requested by centre management for load in, signed off !"
S106445,absence_cover,no relief. stayed. someone must please sort the roster..
S106151,late_handover,shift handover delayed by 50 min
S103016,blank,ok
S104630,equipment_failure,"lift out of order, everything carried up stairs, took long"
S104543,client_requested,exra hours approved by client for the event setup
S104784,equipment_failure,"machine down agn, took twice as long.."
S101584,client_requested,Client requested deep clean before the audit - approved
S107058,absence_cover,"control room says relief coming, nobody came"
S100599,absence_cover,"double duty today, jacobs on family responsibility leave"
S106491,client_requested,Client asked for extra patrol after the break-in Tuesday
S108623,absence_cover,"nxt shift akafikanga, ngihlale kuze kube 0600"
S108587,absence_cover,"worked through, september at the clinic"
S107327,absence_cover,no relief. staye. someone must pleease sort the roster !
S109285,late_handover,shift handover delayed by 30 min
S104563,late_handover,shift handover delayed by 30 min
S101903,routine,no incidents
S104534,absence_cover,"took Wyk shift as well, 2 posts 1 guard.."
S100693,late_handover,"handover late agn, keys missing !"
S102396,absence_cover,"next shift akafikanga, ngihlale kuze kube 06h00"
S108862,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106564,client_requested,centre manager requested additional cover for stocktake
S101591,absence_cover,"uAdams akezanga namhlanje, ngimele yena"
S107632,late_handover,shift handover delayed by 40 min
S107123,late_handover,"oorhandiging was laat, geewag vir sleutels"
S100716,absence_cover,Botha off sick. again. covered
S106552,absence_cover,Covering for Khumalo - booked off sick
S108889,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100160,absence_cover,"aflos het nie opgedaag nie, moes aanbly"
S108113,client_requested,"client wanted extra man on the gate for the event, approved"
S104315,absence_cover,Covered for Zulu agn - 3rd time this month
S100588,late_handover,"oorhandiging was laat, gewag vir sletuels"
S106213,absence_cover,"Radebe didnt come in, covered the post"
S102110,client_requested,"client says stay till 0600, dont know if office approved"
S103965,absence_cover,"Mavuso didnt come in, covered the post"
S102765,equipment_failure,"buffer mcahine kaput, did the floor by hand.."
S102065,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S108797,client_requested,Client requested deep clean before the audit - approved
S100570,routine,no incidents
S106130,client_requested,extra hours approved by client for the event setup
S105900,absence_cover,"covering Maluleke post, no show no call"
S100159,equipment_failure,"lift out of order, everything carried up stairs, took long"
S107412,client_requested,Client requested deep clean before the audit - approved
S104919,absence_cover,double shift bc relief never pitched
S104519,equipment_failure,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S104625,equipment_failure,"scrubber broke down, had to do the floor manually"
S104230,absence_cover,"HENDRICKS DIDNT COME IN, COVERED THE POST"
S107710,equipment_failure,"buffer machine kaput, did the floor by hand.."
S107512,routine,no issues on site
S107337,absence_cover,next shift guard did not pitch. had to cover.
S109128,blank,sharp
S104122,blank,-
S100731,late_handover,"late handover, waiting on paperwork"
S107041,client_requested,"client says stay till 0600, dont know if offcie approved"
S107057,routine,no incidents
S108017,absence_cover,"relief only arrived six, stayed until thhen"
S100815,blank,
S105108,equipment_failure,"buffer machine kaput, did the floor by hand"
S104091,absence_cover,"double duty today, Ngcobo on family responsibility leave"
S105998,blank,sharp
S106138,absence_cover,"relief only arrived 06:00, stayed until then"
S103597,absence_cover,"covering Molefe post, no show no call.."
S107765,absence_cover,no relief. stayed. someone must please sort the roster
S102732,absence_cover,stood in for Khumalo
S100013,absence_cover,"no replacement sent, ngicela sort this out"
S107891,absence_cover,"covering Radebe post, no show no call"
S104320,absence_cover,client signed for the extra hrs but real reason is relief no show again
S103450,client_requested,"client wanted extra man on the gate for the event, approved"
S105833,client_requested,Centre manager requested additional cover for stocktake..
S107430,equipment_failure,"buffer machine kaput, did the floor by hand"
S105324,late_handover,"waited 20 min for handover, OB book not signed"
S101068,absence_cover,"mavuso didnt come in, covered the post"
S103089,absence_cover,"took Mavuso shift as well, 2 posts 1 guard"
S106346,client_requested,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED"
S100845,blank,n/a
S101082,blank,-
S102397,absence_cover,"relief oly arrived six, stayed until then"
S101577,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S103386,routine,akukho lutho
S100261,client_requested,"extra patrol per client email, approved by office"
S108560,absence_cover,"Motaung absent, took her rounds as well"
S100346,equipment_failure,"gate motor faled, manned it by hand till 06h00"
S107758,absence_cover,"waited for relief, nobody came through"
S103760,absence_cover,client signed for the extra hours but real reason is relief no show agn
S105632,late_handover,"late handover, waiting on paperwork"
S102162,routine,quiet shift
S106556,equipment_failure,"gate motor failed, manned it by hand till six"
S106150,absence_cover,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE"
S104946,blank,ok
S109135,late_handover,"late handover, waiting on paperwork"
S107358,client_requested,"extra patrool per client email, approved by office"
S108965,client_requested,"client says stay till six, dont know if office approved"
S107557,absence_cover,Balloyi off sick. agn. covered
S102889,client_requested,"client says stay till 6am, dont know if office approved"
S101114,client_requested,klient het ekstra ure gevra vir stocktake !
S104158,client_requested,"client says say till 6am, dont know if office approved"
S108836,absence_cover,"waited for relief, nobody came through"
S103378,late_handover,"handover laet agn, keys missing"
S108174,late_handover,shift handover delayed by 20 min..
S102121,routine,akukho lutho
S106272,client_requested,"additional cover requested by site manager, signed off"
S102883,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104413,absence_cover,"double duty today, Zulu on family responsibility leave"
S102630,absence_cover,"took dlamini shift as well, 2 posts 1 guard"
S103206,absence_cover,stood in for Fourie
S103609,absence_cover,"gedek vir Ndlovu, siek gemeld"
S103551,client_requested,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S107118,client_requested,klient het ekstra ure gevra vir stocktake
S107491,absence_cover,zulu off sick. again. coveered.
S103775,equipment_failure,"scrubber broke down, had to do the floor manually.."
S104429,absence_cover,"Septeember didnt come in, covered the post"
S104005,absence_cover,"Mabaso didnt come in, covered the post"
S102885,blank,sharp
S106574,blank,ntr
S104365,client_requested,"additional cover requested by site mgr, signed off"
S105303,client_requested,extra hours approved by client for the event setup
S102254,client_requested,"client says stay till 6, dont know if office approved"
S102028,client_requested,"stocktake ran over, client asked us to reemain, they know they pay for it"
S107739,client_requested,klient het ekstra ure gevra vir stocktake..
S100313,equipment_failure,"generator fault, stayed to monitor"
S105239,equipment_failure,"scrubber broke down, had to do the floor manually"
S101500,absence_cover,"Sithole absent, took her rounds as well"
S109296,absence_cover,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600.."
S109301,absence_cover,"took Wyk shift as well, 2 posts 1 gard.."
S102605,blank,n/a
S103931,routine,niks om te rapporteer nie
S102420,late_handover,"oorhandiging was laat, gewag vir sleutels"
S108871,client_requested,Client askeed for extra patrol afetr the break-in Tuesday
S105150,blank,-
S106438,absence_cover,stood in for Mabaso
S102631,absence_cover,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00"
S105083,client_requested,"additional cover requested by site manager, signed off"
S108286,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S101325,client_requested,klient het ekstra ure gevra vir stocktake !
S108195,absence_cover,"relief never arrived, stayed on till 6am"
S104015,absence_cover,"covering Motaung post, no show no caall"
S102989,late_handover,"handover late agn, keys missing"
S108078,absence_cover,Next shift guard did not pitch. Had to covr.
S106439,absence_cover,"double duty today, Sithole on family responsibility leave"
S101779,late_handover,"late handover, waiting on paperwork"
S101122,absence_cover,PILLAY OFF SICK. AGN. COVERED !
S102228,absence_cover,stood in for Fourie
S100554,client_requested,Centre manager requested addtional cover for stocktake..
S108850,blank,.
S106565,blank,ok
S109287,late_handover,"waited 25 min for handover, OB book not signed.."
S108347,blank,n/a
S107387,absence_cover,"took naidoo shift as well, 2 posts 1 guard.."
S106396,client_requested,Client asked for extra patrol after the break-in Tuesday..
S100905,routine,quiet shift
S100333,absence_cover,"geddek vir Mabaso, siek gemeld.."
S103806,absence_cover,Ndlovu off sick. aggn. covered
S103850,routine,no issues on site
S101502,client_requested,"additional cover requested by site manager, signed off"
S106645,client_requested,client asked for extra patrol after the break-in tuesday
S104103,absence_cover,"Pillay absent, took her rounds as well"
S102856,routine,niks om te rapporteer nie
S101331,absence_cover,"no replacement sent, ngicela sort this out.."
S108104,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102307,absence_cover,"double duty today, Maluleke on family responsibility leave"
S102886,absence_cover,"took Adams shift as well, 2 posts 1 guard.."
S106107,equipment_failure,"machine down again, took twice as long"
S104337,client_requested,"requested by centre management for load in, signed off"
S106848,routine,no issues on site
S103166,blank,ok
S103384,equipment_failure,"generator fault, stayed to monitor"
S100022,client_requested,Client rquested deep clean before the audit - approved
S109118,equipment_failure,"buffer machine kaput, did the floor by hand"
S103269,routine,all good
S100388,client_requested,"additional cover requested by site manager, signed off"
S103014,absence_cover,"Sithole absent, took her rounds as well"
S103608,absence_cover,"aflos het nie opgedaag nie, moes aanbly"
S104501,routine,all fine
S103366,routine,quiet shift
S101518,late_handover,"waited 30 min for handover, ob book not signed"
S102859,equipment_failure,"scrubber broke down, had to do the floor manually"
S106529,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104422,routine,all fine
S100738,absence_cover,double shift bc relief never pitched
S102143,blank,ok
S101484,late_handover,"waited 45 min for handover, OB book not signed"
S105299,blank,n/a
S100204,routine,all good
S105768,client_requested,client asked for extra patrol after the break-in tuesday
S107100,blank,n/a
S106646,client_requested,client requested deep clean befroe the audit - approved
S104821,late_handover,"oorhandiging was lat, gewag vir sleutels"
S101034,routine,no issues on site
S103226,client_requested,Client requested deep clean before the audit - approved..
S106671,client_requested,"requested by centre management for load in, signed off"
S109348,absence_cover,client signed for the extra hours but real reason is relief no show agn
S105269,absence_cover,"covering Sibiya post, no show no call"
S103800,routine,nothing to report
S108275,absence_cover,relif no show AGAIN
S102865,client_requested,Client asked for extra patrol after the break-in Tuesday
S102439,routine,all good
S107217,equipment_failure,"buffer machine kaput, did the floor by hand"
S102952,blank,ntr
S108076,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S100629,absence_cover,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH
S108051,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S108033,absence_cover,Next shift guard did not pitch. Had to cover.
S108562,absence_cover,Covering for Adams - booked off sick
S104862,late_handover,"handover late again, keys missing"
S102855,absence_cover,Next shift guard did not pitch. Had to cover.
S103428,absence_cover,"zulu absent, took her rounds as well"
S103584,absence_cover,"worked through, baloyi at the clinic"
S106947,late_handover,shift handover delayed by 40 min
S108154,blank,.
S105631,absence_cover,Khumalo off sick. again. covered.
S104568,absence_cover,"Cele absent, took her rounds as well"
S105508,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106033,absence_cover,Covering for Fourie - booked off sick
S106673,client_requested,Client asked for exra patrol after the break-in Tuesday
S109183,client_requested,Client requested deep clean before the audit - approveed
S108185,absence_cover,"covering Wyk post, no show no call"
S103019,absence_cover,"still on site, relief was suppose to come 06:00"
S102844,absence_cover,radebe off sick. again. covered.
S107816,absence_cover,"worked through, Maluleke at the clinic"
S101627,late_handover,"waited 40 min for handover, OB book not signed"
S108529,absence_cover,"uFourie akezanga namhalnje, ngimele yena"
S101445,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104588,routine,all good
S108628,equipment_failure,"buffer machine kaput, did the floor by hand"
S108873,absence_cover,Fourie off sick. agn. covered.
S104017,absence_cover,"uPillay akezanga namhlanje, nimele yena !"
S106533,absence_cover,"no replacement sent, ngicela sort this out"
S101777,equipment_failure,"machine down again, took twice as long"
S103073,absence_cover,covering for nkosi - booked off sick..
S100983,routine,no issues on site
S108346,absence_cover,"covering Cele post, no show no call"
S107474,absence_cover,"control room says relief coming, nobody came"
S100715,routine,nothing to report
S106737,late_handover,"laet handover, waiting on paperwork"
S105115,absence_cover,Naidoo off sick. agn. covered.
S100577,client_requested,"requested by centre management for load in, signed off"
S103405,blank,n/a
S105653,absence_cover,stood in for Jacobs
S102421,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S102725,blank,-
S103582,absence_cover,"Mabaso didnt come in, covered the post.."
S109249,routine,quiet shift
S106149,client_requested,client asked for extra patrol after the break-in tuesday
S103062,absence_cover,"no replacement sent, ngicela sort this out"
S103565,blank,ntr
S107861,blank,sharp
S100942,absence_cover,Nkosi off sick. again. covered.
S107766,absence_cover,"uAdams akezanga namhlanje, ngimele yena"
S104514,blank,ntr
S108019,equipment_failure,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND.."
S100711,absence_cover,"took Wyk shift as well, 2 posts 1 guard"
S107338,absence_cover,"took Sithole shift as well, 2 posts 1 guard"
S105984,late_handover,"late handover, waiting on paperwork"
S100747,client_requested,"client says stay till 6am, dont know if office approved"
S103623,absence_cover,relief no show again
S106555,late_handover,shift handover delayed by 45 min
S104288,absence_cover,"took Sithole shift as well, 2 posts 1 guard"
S101734,absence_cover,"Mokoena absent, took her rounds as well"
S103832,absence_cover,"still on site, relief was suppose to come 06:00"
S106792,absence_cover,"no replacement sent, ngicela sort this out.."
S106354,client_requested,Client requested deep clean before the audit - approved
S102049,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S106122,late_handover,shift handover delayed by 30 min..
S103211,client_requested,"additional cover requested by site manager, signed off"
S103957,routine,quiet shift
S103447,absence_cover,"relief never arrived, stayed on till 06:00"
S103726,absence_cover,"worked through, fourie at the clinic"
S100818,absence_cover,"worked through, mthembu at the clinic"
S103655,late_handover,"late handover, waitnig on paperwork"
S102134,late_handover,"handover late agn, keys missing !"
S107628,routine,as per normal
S104916,absence_cover,"Mavuso absent, took her rounds as well"
S103547,absence_cover,"relief only arrived 6, stayed until then.."
S107968,absence_cover,"no replacement sent, ngicela sort this out"
S102834,equipment_failure,"gate motor failed, manned it by hand till 6"
S108466,absence_cover,"GEDK VIR MOKOENA, SEK GEMELD"
S108071,absence_cover,"waited for relief, nobody came through"
S107721,absence_cover,"WORKED THROUGH, MOTAUNG AT THE CLINIC"
S106240,absence_cover,"aflos het nie opgedaag nie, moes aanbly.."
S102816,absence_cover,client signed for the extra hours but real reason is relief no show agn
S103400,absence_cover,RELIEF NO SHOW AGAIN
S103567,absence_cover,Covering for Naidoo - booked off sick
S103011,absence_cover,"still on site, relief was suppose to coe six"
S106804,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104038,late_handover,"late handover, waiting on paperwork"
S101555,client_requested,Clint ased for extra patrol after the break-in Tuesday
S105556,absence_cover,"UMANUEL AKEZANGA NAMHLANJE, NGIMELE YENA"
S105003,blank,-
S107975,routine,no issues on site
S100140,absence_cover,Next shift guard did not pitch. Had to cover.
S107075,absence_cover,"double duty toda,y sibiya on family responsibility leave"
S106652,absence_cover,"still on site, relief was suppoes to come 6am"
S103478,absence_cover,"double dtuy today, Nkoi on family responsibility leave"
S101798,absence_cover,"worked through, Cele at the clinic"
S102432,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105047,client_requested,"client says stay till six, donnt know if office approved"
S101552,equipment_failure,"lift out of order, everything carried up stairs, took long"
S109173,blank,.
S103055,absence_cover,stood in for Fourie
S106541,absence_cover,stood in for Mavuso
S102204,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103344,client_requested,"extra patrol per client email, approved by office"
S108105,absence_cover,"aflos het nie opgedaag nie, moes aanbly"
S102382,equipment_failure,"gate motor failed, manned it by hand till 06:00"
S106979,absence_cover,"covering mthembu post, no show no call"
S101551,absence_cover,"no replacement sent, ngicela sort this out"
S103691,client_requested,Client reuested deep clean before the audit - approved
S100590,absence_cover,"tok mahlangu shift as wll, 2 posts 1 guard"
S104130,absence_cover,"no replacement sent, ngicela sort this out"
S101805,equipment_failure,"masjien is stukkend, alls met die hand gedoen"
S107050,absence_cover,"took Nosi shift as well, 2 pots 1 guard"
S100586,absence_cover,Next shift guard did not pitch. Had to cover.
S106664,absence_cover,"Mabaso didnt come in, covered the post"
S106280,client_requested,Client requested deep clean before the audit - approved
S105325,absence_cover,"Zulu didnt come in, covered the post"
S101883,equipment_failure,"buffer machine kaput, did the floor by hand"
S108332,client_requested,"stocktake ran over, client asked us to remain, they knnow tey pay for it"
